claim_amount,client_age,type_of_policy,car_brand,car_model,car_year,type_of_accident,user_type,total_activities,throughput_duration_days,First Notification of Loss (FNOL),Assign Claim,Claim Decision,Set Reserve,Payment Sent,Close Claim,State
3092,83,2,2,2,2012,2,0,6,28,1,2,3,4,5,6,0
3792,65,0,2,2,2018,0,0,6,34,1,2,3,4,5,6,0
2313,51,2,3,3,2014,0,1,6,39,1,2,3,4,5,6,0
7700,85,0,3,3,2017,0,1,6,31,1,2,3,4,5,6,0
6927,85,0,4,6,2016,3,0,6,30,1,2,3,4,5,6,0
8770,62,2,2,2,2015,2,1,6,35,1,2,3,4,5,6,0
5265,28,2,4,6,2012,3,0,6,33,1,2,3,4,5,6,0
9969,49,1,6,1,2013,0,0,6,38,1,2,3,4,5,6,0
2786,59,0,6,1,2021,1,1,6,40,1,2,3,4,5,6,0
4076,64,1,6,1,2021,0,1,6,36,1,2,3,4,5,6,0
7906,61,1,6,1,2011,3,0,6,31,1,2,3,4,5,6,0
1759,71,1,1,4,2011,0,0,6,43,1,2,3,4,5,6,0
6639,23,1,2,2,2010,1,1,6,38,1,2,3,4,5,6,0
9679,47,1,4,6,2020,3,0,6,33,1,2,3,4,5,6,0
1882,21,0,3,3,2018,2,1,6,38,1,2,3,4,5,6,0
5903,77,2,4,6,2020,2,0,6,37,1,2,3,4,5,6,0
6054,49,1,6,1,2012,1,1,6,34,1,2,3,4,5,6,0
4151,28,0,2,2,2010,1,1,6,33,1,2,3,4,5,6,0
9721,71,2,5,0,2017,1,0,6,31,1,2,3,4,5,6,0
5418,80,2,6,1,2018,2,1,6,37,1,2,3,4,5,6,0
6846,76,2,3,3,2020,3,1,6,39,1,2,3,4,5,6,0
1073,68,2,0,5,2018,0,0,6,34,1,2,3,4,5,6,0
7006,35,0,3,3,2019,0,1,6,41,1,2,3,4,5,6,0
2503,48,1,6,1,2011,1,0,6,26,1,2,3,4,5,6,0
9952,25,1,6,1,2021,2,1,6,36,1,2,3,4,5,6,0
7643,48,2,5,0,2020,1,0,6,43,1,2,3,4,5,6,0
7344,65,1,5,0,2015,2,1,6,30,1,2,3,4,5,6,0
2518,48,0,0,5,2014,1,1,6,37,1,2,3,4,5,6,0
5963,61,0,1,4,2016,1,0,6,38,1,2,3,4,5,6,0
2127,80,0,2,2,2015,0,1,6,36,1,2,3,4,5,6,0
2253,47,2,4,6,2019,0,1,6,31,1,2,3,4,5,6,0
8404,47,1,3,3,2019,1,0,6,36,1,2,3,4,5,6,0
2240,62,2,4,6,2012,3,0,6,35,1,2,3,4,5,6,0
7625,82,1,6,1,2014,2,1,6,32,1,2,3,4,5,6,0
2055,75,2,1,4,2013,0,0,6,44,1,2,3,4,5,6,0
2516,76,2,1,4,2015,2,1,6,40,1,2,3,4,5,6,0
6913,31,2,2,2,2018,1,1,6,30,1,2,3,4,5,6,0
6526,85,2,1,4,2018,2,0,6,32,1,2,3,4,5,6,0
9746,69,0,3,3,2011,2,0,6,42,1,2,3,4,5,6,0
1764,75,2,1,4,2017,1,0,6,37,1,2,3,4,5,6,0
4665,82,1,2,2,2013,1,0,6,37,1,2,3,4,5,6,0
4263,70,0,0,5,2016,1,1,6,41,1,2,3,4,5,6,0
9085,59,1,3,3,2020,0,1,6,29,1,2,3,4,5,6,0
7274,67,2,4,6,2012,3,1,6,38,1,2,3,4,5,6,0
2956,28,2,5,0,2015,3,0,6,36,1,2,3,4,5,6,0
1797,52,1,1,4,2011,1,1,6,31,1,2,3,4,5,6,0
6880,34,1,2,2,2016,2,1,6,33,1,2,3,4,5,6,0
3078,50,1,6,1,2013,0,0,6,34,1,2,3,4,5,6,0
8670,36,0,0,5,2022,0,0,6,39,1,2,3,4,5,6,0
5077,40,0,2,2,2014,3,0,6,38,1,2,3,4,5,6,0
2523,48,2,2,2,2022,1,1,6,37,1,2,3,4,5,6,0
2249,54,1,0,5,2021,3,0,6,38,1,2,3,4,5,6,0
2761,76,2,3,3,2016,2,0,6,28,1,2,3,4,5,6,0
7851,35,1,3,3,2022,3,0,6,37,1,2,3,4,5,6,0
9242,60,1,0,5,2021,1,1,6,39,1,2,3,4,5,6,0
1102,84,0,4,6,2017,2,1,6,35,1,2,3,4,5,6,0
2785,24,1,3,3,2014,3,0,6,37,1,2,3,4,5,6,0
8758,38,2,6,1,2019,1,0,6,31,1,2,3,4,5,6,0
4722,83,2,6,1,2013,0,1,6,29,1,2,3,4,5,6,0
2157,81,0,2,2,2019,3,0,6,25,1,2,3,4,5,6,0
4420,40,2,6,1,2016,2,0,6,35,1,2,3,4,5,6,0
3723,52,0,3,3,2010,2,0,6,36,1,2,3,4,5,6,0
5385,61,2,1,4,2012,2,0,6,30,1,2,3,4,5,6,0
1508,84,0,3,3,2018,2,1,6,33,1,2,3,4,5,6,0
1546,53,0,2,2,2022,3,0,6,34,1,2,3,4,5,6,0
6372,24,2,6,1,2015,1,0,6,33,1,2,3,4,5,6,0
2751,74,0,4,6,2013,1,0,6,34,1,2,3,4,5,6,0
6387,23,2,0,5,2013,0,0,6,35,1,2,3,4,5,6,0
7078,84,2,5,0,2014,3,1,6,40,1,2,3,4,5,6,0
8156,54,0,5,0,2019,2,0,6,29,1,2,3,4,5,6,0
8385,59,2,3,3,2020,0,0,6,32,1,2,3,4,5,6,0
4102,80,0,3,3,2010,3,0,6,36,1,2,3,4,5,6,0
5215,69,2,2,2,2010,3,1,6,35,1,2,3,4,5,6,0
3250,62,0,2,2,2019,1,0,6,32,1,2,3,4,5,6,0
7036,19,0,4,6,2017,2,0,6,37,1,2,3,4,5,6,0
4075,71,2,3,3,2017,2,1,6,40,1,2,3,4,5,6,0
6248,81,2,3,3,2014,1,1,6,37,1,2,3,4,5,6,0
7353,38,2,0,5,2022,2,0,6,30,1,2,3,4,5,6,0
7634,71,1,1,4,2017,2,1,6,37,1,2,3,4,5,6,0
7513,28,2,4,6,2018,0,0,6,33,1,2,3,4,5,6,0
2862,35,2,6,1,2021,1,0,6,32,1,2,3,4,5,6,0
4141,43,0,5,0,2015,0,0,6,29,1,2,3,4,5,6,0
2129,37,2,5,0,2021,0,0,6,35,1,2,3,4,5,6,0
4252,78,2,6,1,2020,2,0,6,30,1,2,3,4,5,6,0
8438,27,1,2,2,2022,3,0,6,30,1,2,3,4,5,6,0
8246,31,0,1,4,2018,3,1,6,39,1,2,3,4,5,6,0
3966,52,0,5,0,2012,1,0,6,34,1,2,3,4,5,6,0
9276,53,0,1,4,2015,3,1,6,36,1,2,3,4,5,6,0
5241,34,2,5,0,2012,1,1,6,35,1,2,3,4,5,6,0
6544,78,1,6,1,2014,1,0,6,29,1,2,3,4,5,6,0
7560,44,0,5,0,2022,3,0,6,32,1,2,3,4,5,6,0
3549,73,0,5,0,2022,2,0,6,37,1,2,3,4,5,6,0
2498,77,1,1,4,2019,2,0,6,36,1,2,3,4,5,6,0
8229,59,1,3,3,2016,3,0,6,37,1,2,3,4,5,6,0
9067,83,2,4,6,2010,3,1,6,35,1,2,3,4,5,6,0
1768,55,2,6,1,2019,3,0,6,37,1,2,3,4,5,6,0
7927,25,2,6,1,2022,0,1,6,43,1,2,3,4,5,6,0
2174,57,1,0,5,2014,3,0,6,38,1,2,3,4,5,6,0
3967,59,2,6,1,2011,2,0,6,30,1,2,3,4,5,6,0
2491,73,0,6,1,2022,3,0,6,38,1,2,3,4,5,6,0
9461,74,0,4,6,2016,0,0,6,32,1,2,3,4,5,6,0
8785,83,1,2,2,2013,1,0,6,32,1,2,3,4,5,6,0
3262,49,2,2,2,2015,3,0,6,34,1,2,3,4,5,6,0
