_CASE_KEY,Material Group,Material Group Text,Material,Material Text,Net Order Price,Currency,Vendor
1000010,210,Input Devices,DPC1011,Professional keyboard - PROFITEC Model,20.5,EUR,1005
1000015,12,Hardware,DPC1016,"SIM-Module 8M x 36, 70 ns",67.9,EUR,1010
1000017,202,Motherboards,DPC1019,Processor  700  MHz,197.19,EUR,1010
1000019,207,Monitors,M-01,Sunny Sunny 01,542,EUR,1010
1000020,207,Monitors,M-02,Sunny Xa1,634,EUR,1010
1000026,207,Monitors,M-08,Flatscreen MS 1575P,731.2,EUR,1020
1000044,R1111,Dairy,R100001,Fauna margarine,0.41,EUR,3021
1000047,R1122,Deli,R100002,Salami parma,1.25,EUR,3021
1000054,R1121,Perishables,R100007,"Net of oranges, 4 lb",2.29,EUR,R1000
1000056,R1121,Perishables,R100007,"Net of oranges, 4 lb",2.29,EUR,R1000
1000059,R1121,Perishables,R100008,Pepper,1.17,EUR,R1000
1000060,R1131,Tools,R100009,Screwdriver (cross-head),2.39,EUR,R1000
1000065,1,Metal processing,100-210,Slug for fly wheel,51.1,EUR,1011
1000066,1,Metal processing,100-410,Casing for electronic drive,5.11,EUR,1011
1000074,1,Metal processing,100-600,Support base,51.1,USD,R3001
1000076,1,Metal processing,103-110,Slug for spiral casing--chrome steel,35.79,USD,R3001
1000078,R1111,Dairy,R100000,Yoghurt all natural,0.53,USD,R3001
1000089,R1131,Tools,R100009,Screwdriver (cross-head),1.98,USD,5550
1000098,R1133,Household/cosmetics,R100013,Shampoo 'Splash',2.35,USD,5560
1000103,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',2.99,USD,5550
1000107,R1134,Electro,R100016,Tuner X300,191.68,USD,5550
1000109,R1132,Sport,R100011,Basketball 'Professional',13.5,USD,5550
1000110,R1132,Sport,R100011,Basketball 'Professional',13.5,USD,5550
1000116,9,Accessories,1400-100,Deluxe Headlight,22.5,EUR,R1001
1000123,R1132,Sport,R100011,Basketball 'Professional',4.75,USD,3745
1000124,R1132,Sport,R100012,Skateboard 'Hells Bells',35.43,USD,3745
1000132,R1111,Dairy,R100000,Yoghurt all natural,0.53,USD,3745
1000138,R1111,Dairy,R100001,Fauna margarine,0.95,USD,R1000
100014,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",3.7,EUR,R1000
1000140,R1122,Deli,R100002,Salami parma,2.47,USD,R1000
1000141,R1122,Deli,R100002,Salami parma,2.47,USD,R1000
100015,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.39,EUR,R1000
1000156,R1121,Perishables,R100008,Pepper,2.56,USD,R1000
1000158,R1121,Perishables,R100008,Pepper,2.56,USD,R1000
1000164,R1114,Preserves,R100027,Meyer's goulash soup,1.07,EUR,3902
1000165,R1114,Preserves,R100027,Meyer's goulash soup,1.07,EUR,3902
1000166,R1114,Preserves,R100027,Meyer's goulash soup,1.07,EUR,3902
1000169,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.28,EUR,3902
1000178,R1132,Sport,R100011,Basketball 'Professional',4.55,EUR,1003
1000180,R1132,Sport,R100012,Skateboard 'Hells Bells',17.46,EUR,1003
1000185,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',1.35,EUR,5550
1000187,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',1.35,EUR,5550
1000189,R1134,Electro,R100016,Tuner X300,114.14,EUR,5550
1000192,R1114,Preserves,R100026,Meyer's cream of mushroom soup,0.46,EUR,5550
1000193,R1114,Preserves,R100026,Meyer's cream of mushroom soup,0.46,USD,R3000
1000195,R1114,Preserves,R100027,Meyer's goulash soup,0.46,USD,R3000
100020,R1221,Returnables,R100022,Bottle 1.5,0.14,USD,R3000
1000206,3,Bulbs,40-100Y,Bulb 220/35V 40-watt yellow,0.11,EUR,300
1000207,8,Packaging,40-110C,40 W clear 220-235V e27 MIG Carton,0.01,EUR,300
1000210,8,Packaging,40-110Y,220-235V 40-watt yellow e27 MIG box,0.01,EUR,300
1000217,3,Bulbs,YY-210,Solid wire LSN 5 1.8,4.59,EUR,1001
100022,R1221,Returnables,R100022,Bottle 1.5,0.14,USD,R3000
1000225,8,Packaging,60-110Y,220-235V 60-watt yellow e27 MIG box,0.01,EUR,1001
1000226,3,Bulbs,60-200C,Bulb A 60/33x128 clear EMG,0.1,EUR,1001
1000235,8,Packaging,80-110C,220-235V 80-watt clear e27 MIG box,0.01,EUR,1075
1000249,3,Bulbs,YY-260,Current conveyor 3 piece,0.01,USD,R3002
1000256,R1132,Sport,R100011,Basketball 'Professional',13.5,EUR,1015
1000257,R1132,Sport,R100012,Skateboard 'Hells Bells',67,EUR,1015
1000259,207,Monitors,M-02,Sunny Xa1,634,EUR,1015
1000264,207,Monitors,M-07,Flatscreen LE 64P,567.5,EUR,1025
1000268,207,Monitors,M-11,Flatscreen MS 1785P,869.2,EUR,1025
1000273,207,Monitors,M-16,SEC Multisync XV 17,838.5,EUR,R1000
1000275,207,Monitors,M-18,Jotachi SN4500,920.29,EUR,R1000
1000282,R1111,Dairy,R100001,Fauna margarine,0.41,EUR,R1000
1000284,R1122,Deli,R100002,Salami parma,1.25,EUR,R1000
1000294,R1121,Perishables,R100007,"Net of oranges, 4 lb",2.29,EUR,3902
1000300,R1131,Tools,R100009,Screwdriver (cross-head),2.39,EUR,3902
1000312,12,Hardware,DPC1015,"SIM-Modul 256 MB 16M x 32, 70 ns",97.2,EUR,1005
1000317,1,Metal processing,100-120,Flat gasket,23.5,EUR,1011
1000318,1,Metal processing,100-130,Hexagon head screw M10,0.51,EUR,1011
1000322,1,Metal processing,100-420,Circuit board M-1000,10.4,EUR,1011
1000333,R1111,Dairy,R100001,Fauna margarine,0.95,USD,1003
1000334,R1122,Deli,R100002,Salami parma,49.5,USD,1003
1000339,R1114,Preserves,R100026,Meyer's cream of mushroom soup,1.08,USD,1003
1000340,R1114,Preserves,R100027,Meyer's goulash soup,1.08,USD,1003
1000342,R1131,Tools,R100009,Screwdriver (cross-head),2,USD,1003
1000344,R1131,Tools,R100009,Screwdriver (cross-head),2,USD,5560
1000353,R1133,Household/cosmetics,R100013,Shampoo 'Splash',2.62,USD,3021
1000356,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',3.04,USD,3021
1000359,R1134,Electro,R100016,Tuner X300,177.34,USD,3021
1000363,R1132,Sport,R100011,Basketball 'Professional',13.5,EUR,1011
1000364,R1132,Sport,R100011,Basketball 'Professional',13.5,EUR,1011
1000366,R1132,Sport,R100012,Skateboard 'Hells Bells',67,EUR,1011
1000367,R1132,Sport,R100012,Skateboard 'Hells Bells',67,EUR,1011
1000373,201,Motorcycles,1400-310,CrossFun / 350 cm3,3732.42,EUR,R1000
1000377,R1132,Sport,R100011,Basketball 'Professional',4.75,EUR,R1000
1000385,2,Electronics,R-1140,"TFT Monitor, 17"",205,EUR""",5550,,
1000398,R1133,Household/cosmetics,R100013,Shampoo 'Splash',1.14,EUR,3021
100040,R1221,Returnables,R100022,Bottle 1.5,0.14,EUR,R1000
1000408,R1114,Preserves,R100027,Meyer's goulash soup,0.46,EUR,5550
1000410,R1114,Preserves,R100027,Meyer's goulash soup,0.46,EUR,5550
1000414,3,Bulbs,40-100C,Bulb 220/35V 40-watt clear,0.05,EUR,300
1000429,3,Bulbs,60-100C,Bulb 220/35V 60-watt frosted,0.05,EUR,1001
100043,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.39,EUR,R1000
1000435,8,Packaging,60-110R,220-235V 60-watt red e27 MIG box,0.01,EUR,1001
1000436,8,Packaging,60-110Y,220-235V 60-watt yellow e27 MIG box,0.01,EUR,1001
1000438,3,Bulbs,60-200F,Bulb A 60/33x128 frosted EMG,0.1,EUR,1001
1000446,8,Packaging,80-110C,220-235V 80-watt clear e27 MIG box,0.01,EUR,1001
1000455,3,Bulbs,80-200R,Bulb A 80/33x128 red EMG,0.1,USD,R3002
1000456,3,Bulbs,80-200Y,Bulb A 40/33x128 yellow EMG,0.01,USD,R3002
1000464,R1133,Household/cosmetics,R100013,Shampoo 'Splash',2.85,EUR,1005
1000467,R1132,Sport,R100011,Basketball 'Professional',13.5,EUR,1005
1000468,R1132,Sport,R100012,Skateboard 'Hells Bells',67,EUR,1005
1000475,210,Input Devices,DPC1011,Professional keyboard - PROFITEC Model,20.5,EUR,1005
100048,R1221,Returnables,R100022,Bottle 1.5,0.14,EUR,R1000
1000485,R1111,Dairy,R100001,Fauna margarine,0.41,EUR,R1000
1000493,R1111,Dairy,R100001,Fauna margarine,0.41,USD,R3000
1000498,R1221,Returnables,R100022,Bottle 1.5,0.14,USD,R3000
1000499,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",3.7,USD,R3000
1000502,R1112,Beverages,R100003,Lemonade 1.5 l bottle,0.72,USD,R3000
1000504,R1221,Returnables,R100023,Crate 12 bottles,1.5,EUR,1010
1000511,R1221,Returnables,R100023,Crate 12 bottles,1.5,EUR,1010
1000517,207,Monitors,M-06,Flatscreen MS 1460 P,557.29,EUR,1015
1000518,207,Monitors,M-07,Flatscreen LE 64P,567.5,EUR,1015
1000520,207,Monitors,M-09,Flatscreen MS 1585,777.2,EUR,1015
1000521,207,Monitors,M-10,Flatscreen MS 1775P,818.1,EUR,1015
1000530,207,Monitors,M-19,Jotachi SN5000,557.29,EUR,R1000
1000537,R1111,Dairy,R100001,Fauna margarine,0.41,EUR,3745
1000539,R1122,Deli,R100002,Salami parma,1.25,EUR,3745
1000546,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.36,EUR,5560
1000552,R1121,Perishables,R100008,Pepper,1.17,EUR,5560
1000565,1,Metal processing,100-433,Screw M 6X60,0.51,USD,R3000
100057,R1111,Dairy,R100001,Fauna margarine,0.95,USD,R3000
1000575,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.86,USD,5550
1000578,R1114,Preserves,R100026,Meyer's cream of mushroom soup,1.08,USD,5550
1000581,R1131,Tools,R100009,Screwdriver (cross-head),2,USD,5550
1000582,R1131,Tools,R100009,Screwdriver (cross-head),2,USD,5550
1000583,R1131,Tools,R100009,Screwdriver (cross-head),2,USD,5550
1000588,R1131,Tools,R100010,"Hammer, 20 oz framing",11.08,USD,5550
1000589,R1133,Household/cosmetics,R100013,Shampoo 'Splash',2.64,USD,5550
1000594,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',3.04,USD,3745
1000601,R1132,Sport,R100011,Basketball 'Professional',13.5,USD,3745
1000603,R1132,Sport,R100011,Basketball 'Professional',13.5,EUR,1011
1000604,R1132,Sport,R100011,Basketball 'Professional',13.5,EUR,1011
1000605,R1132,Sport,R100012,Skateboard 'Hells Bells',67,EUR,1011
